Spanish;PoS;English
a;prep;to, at
abajo;adv;down, below, downward
abandonado;adj;abandoned
abandonar;v;to abandon, leave (a place)
abandono;nm;abandonment, desertion
abarcar;v;to encompass, comprise
abierto;adj;open, unlocked
abismo;nm;abyss, large gap
abogado;nm/f;lawyer
abordar;v;to board, get in/on
aborto;nm;abortion
abrazar;v;to hug, embrace
abrazo;nm;hug, embrace
abrigo;nm;overcoat, shelter
abril;nm;April
abrir;v;to open
absolutamente;adv;absolutely, completely
absoluto;adj;absolute
absorber;v;to absorb, soak up
abstracto;adj;abstract
absurdo;adj;absurd
abuela;nf;grandmother
abuelo;nm;grandfather
abundancia;nf;abundance
abundante;adj;abundant, plentiful
abundar;v;to be plentiful
aburrido;adj;boring, bored
aburrir;v;to bore, tire
abusar;v;to abuse
abuso;nm;abuse, misuse
acá;adv;here, around here
acabar;v;a. de V: to have just Ved, finish
academia;nf;academy
académico;adj;academic
acariciar;v;to stroke, fondle, caress
acaso;adv;by chance, maybe
acceder;v;to consent, agree, accede
accesible;adj;accessible
acceso;nm;access, entry
accidente;nm;accident, irregularity
acción;nf;action, act, deed
aceite;nm;oil
acelerar;v;to accelerate, speed (up)
acento;nm;accent, stress
acentuar;v;to accent, stress
aceptable;adj;acceptable, suitable
aceptación;nf;acceptance, approval
aceptar;v;to accept
acera;nf;sidewalk
acerca;prep;about, concerning
acercar;v;to come near
acero;nm;steel
acertar;v;to get right
ácido;nm;acid
aclarar;v;to clarify, clear up
acoger;v;to welcome, accept
acomodar;v;to be/make comfortable
acompañar;v;to accompany
aconsejar;v;to advise, counsel
acontecer;v;to happen, come about
acontecimiento;nm;event, happening
acordar;v;to remember, remind
acorde;nm;agreement, accord
acostar;v;to put/go to bed
acostumbrar;v;to be accustomed to
acta;nf;(el) (meeting) proceedings, minutes
actitud;nf;attitude
activar;v;to activate, stimulate
actividad;nf;activity, action
activo;adj;active
acto;nm;act, action
actor;nm;actor
actriz;nf;actress
actuación;nf;performance, acting
actual;adj;current
actualidad;nf;present (time)
actualización;nf;update, modernization
actualizar;v;to update
actualmente;adv;now, at present
actuar;v;to act
acudir;v;to attend, go to, frequent
acuerdo;nm;accord, de a.: in agreement
acumulación;nf;accumulation
acumular;v;to accumulate, amass
acusación;nf;accusation, charge
acusado;nm/f;defendant, accused
acusar;v;to accuse
adaptación;nf;adaptation
adaptar;v;to adapt
adecuado;adj;adequate, suitable
adelantar;v;to move forward
adelante;adv;forward, further
ademán;nm;gesture, expression
además;adv;also, as well, besides
adentro;adv;inside
adherir;v;to adhere, attach
adicional;adj;additional
adiós;interj;goodbye
adivinar;v;to guess, solve
administración;nf;administration
administrador;nm/f;administrator, manager
administrar;v;to administer, manage
administrativo;adj;administrative
admirable;adj;admirable
admiración;nf;admiration
admirar;v;to admire
admitir;v;to admit
adolescencia;nf;adolescence
adolescente;nc;adolescent
adónde;adv;to where?
adopción;nf;adoption
adoptar;v;to adopt
adorar;v;to worship, adore
adornar;v;to adorn, to decorate
adorno;nm;decoration, adornment
adquirir;v;to acquire, get
adquisición;nf;acquisition
adulto;nm;adult, grown-up
adversario;nm;adversary
advertencia;nf;warning, notice
advertir;v;to notice, warn
aéreo;adj;aerial, air
aeropuerto;nm;airport
afán;nm;eagerness, zeal, effort
afectar;v;to affect
afecto;nm;affection, fondness
aferrar;v;to grasp, clutch
afición;nf;fondness, interest
aficionado;nm;fan, devotee
afilar;v;to sharpen
afirmación;nf;statement, assertion
afirmar;v;to assert, affirm
aflojar;v;to loosen
afortunadamente;adv;luckily, fortunately
africano;adj;African
afrontar;v;to face, confront
afuera;adv;outside
agachar;v;to duck, bend down
agarrar;v;to grasp, catch
